139912	3.70	4.05	4.77	-0.25	0.69	-0.64
139955	3.70	4.05	4.77	-0.25	0.69	-0.63
139997	3.70	4.05	4.77	-0.27	0.68	-0.63
140040	3.70	4.05	4.77	-0.26	0.69	-0.64
140083	3.70	4.05	4.77	-0.25	0.69	-0.65
140125	3.70	4.05	4.77	-0.25	0.69	-0.65
140168	3.70	4.05	4.77	-0.24	0.69	-0.66
140211	3.70	4.05	4.77	-0.24	0.70	-0.65
140253	3.70	4.05	4.77	-0.23	0.69	-0.65
140296	3.70	4.04	4.77	-0.22	0.67	-0.94
140637	3.70	4.05	4.77	-0.25	0.71	-0.63
140680	3.70	4.05	4.77	-0.23	0.69	-0.67
140722	3.70	4.04	4.77	-0.25	0.70	-0.65
140765	3.70	4.05	4.77	-0.26	0.69	-0.63
140808	3.70	4.05	4.77	-0.24	0.67	-0.65
140850	3.70	4.05	4.77	-0.26	0.70	-0.63
140893	3.70	4.04	4.77	-0.27	0.72	-0.61
140936	3.70	4.04	4.77	-0.23	0.70	-0.64
140978	3.70	4.05	4.77	-0.26	0.71	-0.62
141021	3.70	4.04	4.77	-0.25	0.69	-0.65
141064	3.70	4.05	4.77	-0.22	0.70	-0.67
141106	3.70	4.05	4.77	-0.25	0.70	-0.65
141447	3.70	4.05	4.77	-0.22	0.71	-0.66
141490	3.70	4.05	4.77	-0.23	0.69	-0.67
141533	3.70	4.04	4.77	-0.24	0.68	-0.66
141575	3.70	4.05	4.77	-0.24	0.69	-0.63
141618	3.71	4.04	4.77	-0.28	0.69	-0.64
141660	3.70	4.04	4.77	-0.26	0.69	-0.63
141703	3.71	4.05	4.77	-0.26	0.68	-0.63
141746	3.71	4.05	4.77	-0.25	0.70	-0.63
141788	3.71	4.05	4.77	-0.23	0.69	-0.67
141831	3.71	4.05	4.77	-0.23	0.70	-0.65
141874	3.71	4.05	4.77	-0.23	0.70	-0.66
141916	3.71	4.04	4.77	-0.23	0.70	-0.66
142258	3.71	4.05	4.77	-0.23	0.70	-0.66
142300	3.71	4.04	4.77	-0.23	0.70	-0.66
142343	3.71	4.05	4.77	-0.23	0.70	-0.66
142385	3.71	4.05	4.77	-0.24	0.69	-0.65
142428	3.71	4.05	4.77	-0.26	0.68	-0.64
